SORT	ORIG	DEST	Distance
1631	TUS	LAX	452
1635	LAS	IND	1590
1636	IND	MDW	162
1637	MDW	LAS	1521
1641	TUS	ATL	1542
1642	ATL	BWI	577
1643	BWI	ATL	577
1644	ATL	TUS	1542
1646	TUS	PHX	111
1647	PHX	LAX	371
1648	LAX	SJU	3387
1649	SJU	DFW	2166
1650	DFW	TUS	814
1652	TUS	PHX	111
1653	PHX	LAX	371
1654	LAX	SJU	3387
1655	SJU	DFW	2166
1656	DFW	TUS	814
1658	RDU	DFW	1062
1659	DFW	TUS	814
1660	TUS	DFW	814
1661	DFW	RDU	1062
1663	GSO	IAH	987
1664	IAH	TUS	936
1665	TUS	IAH	936
1666	IAH	GSO	987
1668	CLT	IAH	913
1669	IAH	TUS	936
1670	TUS	MSP	1298
1671	MSP	CLT	930
1675	TUS	MDW	1440
1676	MDW	PHL	669
1677	PHL	MDW	669
1678	MDW	TUS	1440
1682	TUS	PVD	2264
1683	PVD	MDW	843
1684	MDW	TUS	1440
1688	TUS	PHX	111
1689	PHX	IND	1489
1690	IND	PHX	1489
1691	PHX	TUS	111
1693	PHX	IND	1489
1694	IND	PHX	1489
1698	TUS	ATL	1542
1699	ATL	BWI	577
1700	BWI	SLC	1865
1701	SLC	TUS	601
1705	PHX	SNA	339
1706	SNA	PHX	339
1710	PHX	SAN	305
1712	PHX	ORD	1440
1713	ORD	YUL	748
1714	YUL	ORD	748
1715	ORD	PHX	1440
1720	PHX	ORD	1440
1721	ORD	YUL	748
1722	YUL	ORD	748
1723	ORD	PHX	1440
1725	PHX	IAH	1009
1726	IAH	DCA	1208
1727	DCA	IAH	1208
1728	IAH	PHX	1009
1730	PHX	DEN	602
1731	DEN	PHX	602
1735	RNO	LAS	346
1736	LAS	ABQ	487
1737	ABQ	LAS	487
1738	LAS	RNO	346
1742	MTJ	DEN	197
1743	DEN	NYC	1614
1744	NYC	PVD	149
1745	PVD	PHL	238
1747	TUS	PHX	111
1748	PHX	LAX	371
1749	LAX	TUS	452
1751	TUS	LAX	452
1755	TUS	DFW	814
1756	DFW	ORD	802
1757	ORD	TUS	1437
1761	PHX	HNL	2918
1762	HNL	PHX	2918
1766	TUS	DFW	814
1767	DFW	MCO	985
1768	MCO	DFW	985
1769	DFW	TUS	814
1771	TUS	DFW	814
1772	DFW	DTW	987
1773	DTW	DFW	987
1774	DFW	TUS	814
1778	TUS	SAN	368
1779	SAN	TUS	368
1783	TUS	ABQ	321
1787	TUS	DFW	814
1788	DFW	PHL	1303
1789	PHL	DFW	1303
1790	DFW	TUS	814
1792	TUS	DFW	814
1793	DFW	PHL	1303
1794	PHL	DFW	1303
1795	DFW	TUS	814
1799	PHX	WAS	1979
1800	WAS	LON	3674
1801	LON	EDI	335
1802	EDI	LON	335
1804	TUS	DFW	814
1805	DFW	PHL	1303
1806	PHL	DFW	1303
1807	DFW	TUS	814
1811	TUS	MSP	1298
1812	MSP	MSN	228
1813	MSN	MSP	228
1814	MSP	TUS	1298
1816	TUS	ATL	1542
1817	ATL	MSN	708
1818	MSN	ATL	708
1819	ATL	TUS	1542
1821	TUS	ATL	1542
1822	ATL	MSN	708
1823	MSN	ATL	708
1824	ATL	TUS	1542
1826	FLG	LAX	394
1827	LAX	PDX	834
1828	PDX	LAX	834
1829	LAX	FLG	394
1833	TUS	SLC	601
1834	SLC	YVR	798
1835	YVR	PHX	1231
1836	PHX	TUS	111
1838	TUS	LAS	365
1839	LAS	SLC	368
1840	SLC	ABQ	494
1841	ABQ	TUS	321
1843	TUS	LAX	452
1844	LAX	YVR	1081
1845	YVR	DEN	1114
1846	DEN	TUS	639
1852	TUS	ORD	1437
1853	ORD	TUS	1437
1855	TUS	SEA	1216
1856	SEA	TUS	1216
1866	TUS	OAK	748
1867	OAK	TUS	748
1869	TUS	OAK	748
1870	OAK	TUS	748
1872	TUS	OAK	748
1873	OAK	TUS	748
1875	TUS	OAK	748
1876	OAK	TUS	748
1878	TUS	BWI	1977
1879	BWI	TUS	1977
1881	TUS	BWI	1977
1882	BWI	TUS	1977
1884	TUS	BWI	1977
1885	BWI	TUS	1977
1889	TUS	ABQ	321
1890	ABQ	TUS	321
1892	TUS	ABQ	321
1893	ABQ	TUS	321
1895	TUS	ABQ	321
1896	ABQ	TUS	321
1898	TUS	PHX	111
1899	PHX	PHL	2076
1900	PHL	PHX	2076
1901	PHX	TUS	111
1905	TUS	LAS	365
