SORT	ORIG	DEST	CO2_Emissions(tons_per_passenger)
1440	ORD	LHR	2.3
1441	LHR	DXB	2
1442	DXB	LHR	2
1443	LHR	ORD	2.3
1444	ORD	PHX	0.851
1446	RNO	PHX	0.29
1447	PHX	TUS	0.13
1448	TUS	PHX	0.13
1449	PHX	RNO	0.29
1451	DEN	DCA	0.892
1452	DCA	IAD	0.102
1453	IAD	DEN	0.871
1455	MSP	TUS	0.726
1456	TUS	MSP	0.726
1464	TUS	LAX	0.241
1465	LAX	TUS	0.241
1467	TUS	ORD	0.849
1468	ORD	TUS	0.849
1470	TUS	LAX	0.241
1471	LAX	TUS	0.241
1475	TUS	LAX	0.241
1476	LAX	TUS	0.241
1480	CVG	DFW	0.362
1481	DFW	TUS	0.366
1482	TUS	DFW	0.366
1483	DFW	CVG	0.362
1487	LGA	IAH	0.83
1488	IAH	TUS	0.404
1489	TUS	EWR	1.2
1493	TUS	SAN	0.213
1494	SAN	TUS	0.213
1496	OAK	SAN	0.24
1497	SAN	OAK	0.24
1499	TUS	LAX	0.241
1500	LAX	SMF	0.216
1501	SMF	SAN	0.251
1502	SAN	TUS	0.213
1506	TUS	LAX	0.241
1507	LAX	SJC	0.194
1508	SJC	LAX	0.194
1509	LAX	TUS	0.241
1513	TUS	ORD	0.849
1514	ORD	TUS	0.849
1520	PHX	DFW	0.384
1521	DFW	MIA	0.553
1522	MIA	PTY	0.607
1523	PTY	DFW	1.2
1525	TUS	DFW	0.366
1526	DFW	PTY	1.2
1527	PTY	DFW	1.2
1528	DFW	TUS	0.366
1530	PHX	BWI	1.2
1531	BWI	PHX	1.2
1535	TUS	SAN	0.213
1536	SAN	TUS	0.213
1538	TUS	SAN	0.213
1539	SAN	TUS	0.213
1543	TUS	ORD	0.849
1544	ORD	ZRH	2.6
1545	ZRH	FCO	0.234
1546	FCO	ZRH	0.234
1547	ZRH	ORD	2.6
1548	ORD	TUS	0.849
1558	TUS	LAS	0.213
1559	LAS	TUS	0.213
1561	TUS	LAS	0.213
1562	LAS	TUS	0.213
1564	TUS	LAS	0.213
1565	LAS	TUS	0.213
1567	TUS	LAS	0.213
1568	LAS	TUS	0.213
1582	PHX	LAS	0.177
1589	YUM	LAX	0.171
1590	LAX	RNO	0.222
1591	RNO	LAX	0.222
1592	LAX	YUM	0.171
1596	TUS	PHX	0.13
1597	PHX	SBA	0.242
1598	SBA	PHX	0.242
1599	PHX	TUS	0.13
1603	BHM	IAH	0.278
1604	IAH	TUS	0.404
1605	TUS	IAH	0.404
1606	IAH	BHM	0.278
1610	TUS	ORD	0.849
1611	ORD	BOS	0.378
1612	BOS	ORD	0.378
1613	ORD	TUS	0.849
1615	TUS	ORD	0.849
1616	ORD	BOS	0.378
1617	BOS	ORD	0.378
1618	ORD	TUS	0.849
1620	IND	PHX	0.894
1621	PHX	TUS	0.13
1627	MEX	LAX	0.952
1628	LAX	MEX	0.952
1630	LAX	TUS	0.241
1631	TUS	LAX	0.241
1635	LAS	IND	0.97
1636	IND	MDW	0.147
1637	MDW	LAS	0.922
1641	TUS	ATL	0.939
1642	ATL	BWI	0.282
1643	BWI	ATL	0.282
1644	ATL	TUS	0.939
1646	TUS	PHX	0.13
1647	PHX	LAX	0.214
1648	LAX	SJU	1.9
1649	SJU	DFW	1.3
1650	DFW	TUS	0.366
1652	TUS	PHX	0.13
1653	PHX	LAX	0.214
1654	LAX	SJU	1.9
1655	SJU	DFW	1.3
1656	DFW	TUS	0.366
1658	RDU	DFW	0.511
1659	DFW	TUS	0.366
1660	TUS	DFW	0.366
1661	DFW	RDU	0.511
1663	GSO	IAH	0.455
1664	IAH	TUS	0.404
1665	TUS	IAH	0.404
1666	IAH	GSO	0.455
1668	CLT	IAH	0.394
1669	IAH	TUS	0.404
1670	TUS	MSP	0.726
1671	MSP	CLT	0.4
1675	TUS	MDW	0.851
1676	MDW	PHL	0.312
1677	PHL	MDW	0.312
1678	MDW	TUS	0.851
1682	TUS	PVD	1.3
1683	PVD	MDW	0.37
1684	MDW	TUS	0.851
1688	TUS	PHX	0.13
